#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
0       270.4  1.439E+02  0.000E+00  -4.685E+00  -6.168E-01  -5.302E+00  1.386E+02
100000  268.1  1.427E+02  -1.128E+00  -4.629E+00  -6.168E-01  -5.246E+00  1.386E+02
200000  267.3  1.422E+02  -1.532E+00  -4.587E+00  -6.168E-01  -5.204E+00  1.386E+02
300000  267.2  1.422E+02  -1.532E+00  -4.557E+00  -6.168E-01  -5.174E+00  1.386E+02
400000  267.2  1.422E+02  -1.532E+00  -4.540E+00  -6.168E-01  -5.157E+00  1.386E+02
500000  267.1  1.421E+02  -1.599E+00  -4.534E+00  -6.168E-01  -5.151E+00  1.386E+02
600000  267.1  1.421E+02  -1.599E+00  -4.540E+00  -6.168E-01  -5.157E+00  1.386E+02
700000  267.1  1.421E+02  -1.599E+00  -4.558E+00  -6.168E-01  -5.175E+00  1.386E+02
800000  267.2  1.422E+02  -1.599E+00  -4.586E+00  -6.168E-01  -5.203E+00  1.386E+02
900000  260.9  1.388E+02  -4.986E+00  -4.624E+00  -6.168E-01  -5.241E+00  1.386E+02
1000000  256.6  1.365E+02  -7.334E+00  -4.673E+00  -6.168E-01  -5.290E+00  1.386E+02
1100000  255.3  1.358E+02  -8.089E+00  -4.739E+00  -6.168E-01  -5.356E+00  1.386E+02
1200000  261.6  1.392E+02  -4.813E+00  -4.811E+00  -6.168E-01  -5.428E+00  1.386E+02
1300000  269.8  1.435E+02  -5.232E-01  -4.891E+00  -6.168E-01  -5.507E+00  1.386E+02
1400000  272.6  1.451E+02  8.939E-01  -4.984E+00  -6.168E-01  -5.601E+00  1.386E+02
1500000  271.1  1.443E+02  8.136E-03  -5.091E+00  -6.168E-01  -5.708E+00  1.386E+02
1600000  271.4  1.444E+02  8.136E-03  -5.220E+00  -6.168E-01  -5.837E+00  1.386E+02
1700000  271.7  1.446E+02  8.136E-03  -5.376E+00  -6.168E-01  -5.992E+00  1.386E+02
1800000  272.0  1.447E+02  8.136E-03  -5.560E+00  -6.168E-01  -6.177E+00  1.386E+02
